r1,bridge,r2
P1830,Q58024,P127
P1830,Q9396,P127
P1830,Q1236833,P1830
P1830,Q1541150,P1830
P1830,Q156238,P1830
P1830,Q1656230,P1830
P1830,Q206921,P1830
P1830,Q2283,P1830
P1830,Q312,P1830
P1830,Q3295867,P1830
P1830,Q329953,P1830
P1830,Q333718,P1830
P1830,Q334204,P1830
P1830,Q368181,P1830
P1830,Q37156,P1830
P1830,Q38076,P1830
P1830,Q459965,P1830
P1830,Q483551,P1830
P1830,Q487907,P1830
P1830,Q54173,P1830
P1830,Q5476820,P1830
P1830,Q66,P1830
P1830,Q7414,P1830
P1830,Q741707,P1830
P1830,Q744149,P1830
P1830,Q907311,P1830
P1830,Q908662,P1830
P1830,Q327634,P749
P1830,Q334800,P749
P1830,Q58024,P749
P1830,Q9396,P749
P31,Q11371,P452
P31,Q1341478,P452
P31,Q18388277,P452
P31,Q1916382,P452
P31,Q1934969,P452
P31,Q2089936,P452
P31,Q22687,P452
P31,Q261428,P452
P31,Q3966,P452
P31,Q4830453,P452
P31,Q483639,P452
P31,Q507619,P452
P31,Q697852,P452
P31,Q7397,P452
P31,Q762548,P452
P31,Q778575,P452
P31,Q873442,P452
P31,Q946499,P452
P3320,Q312556,P127
P3320,Q317521,P127
P3320,Q47213,P127
P3320,Q4934,P127
P3320,Q5234268,P127
P3320,Q5284,P127
P3320,Q7306657,P127
P3320,Q918630,P127
P3320,Q92747,P127
P3320,Q92759,P127
P3320,Q92764,P127
P355,Q219635,P127
P355,Q7603552,P127
P355,Q100292691,P1830
P355,Q1052823,P1830
P355,Q1054700,P1830
P355,Q1056839,P1830
P355,Q1064703,P1830
P355,Q10860313,P1830
P355,Q1135204,P1830
P355,Q1138889,P1830
P355,Q1152374,P1830
P355,Q119267,P1830
P355,Q1192687,P1830
P355,Q1200552,P1830
P355,Q127316,P1830
P355,Q127552,P1830
P355,Q130729,P1830
P355,Q1318737,P1830
P355,Q1325893,P1830
P355,Q13683,P1830
P355,Q1411762,P1830
P355,Q1415262,P1830
P355,Q1417484,P1830
P355,Q14647,P1830
P355,Q1485061,P1830
P355,Q1501379,P1830
P355,Q1548159,P1830
P355,Q1554299,P1830
P355,Q1663991,P1830
P355,Q1746945,P1830
P355,Q1756332,P1830
P355,Q178824,P1830
P355,Q178837,P1830
P355,Q1790346,P1830
P355,Q1809448,P1830
P355,Q1846049,P1830
P355,Q191615,P1830
P355,Q19681433,P1830
P355,Q1972120,P1830
P355,Q200491,P1830
P355,Q206678,P1830
P355,Q2071252,P1830
P355,Q213660,P1830
P355,Q213849,P1830
P355,Q2150493,P1830
P355,Q217776,P1830
P355,Q219635,P1830
P355,Q220317,P1830
P355,Q2216535,P1830
P355,Q224599,P1830
P355,Q22906322,P1830
P355,Q2291482,P1830
P355,Q230051,P1830
P355,Q2359213,P1830
P355,Q2401704,P1830
P355,Q242446,P1830
P355,Q2451589,P1830
P355,Q2456368,P1830
P355,Q246125,P1830
P355,Q25007,P1830
P355,Q2660350,P1830
P355,Q2665841,P1830
P355,Q267313,P1830
P355,Q2699694,P1830
P355,Q27585,P1830
P355,Q28129037,P1830
P355,Q2816491,P1830
P355,Q2866017,P1830
P355,Q29231846,P1830
P355,Q297410,P1830
P355,Q304992,P1830
P355,Q308913,P1830
P355,Q3100073,P1830
P355,Q3108542,P1830
P355,Q31327320,P1830
P355,Q319515,P1830
P355,Q3241626,P1830
P355,Q327634,P1830
P355,Q334122,P1830
P355,Q3358931,P1830
P355,Q3362807,P1830
P355,Q3511885,P1830
P355,Q364,P1830
P355,Q366651,P1830
P355,Q371068,P1830
P355,Q374451,P1830
P355,Q3783594,P1830
P355,Q4037769,P1830
P355,Q4042525,P1830
P355,Q40650,P1830
P355,Q420953,P1830
P355,Q432492,P1830
P355,Q43380,P1830
P355,Q448532,P1830
P355,Q456157,P1830
P355,Q458944,P1830
P355,Q4651363,P1830
P355,Q470696,P1830
P355,Q4804093,P1830
P355,Q483959,P1830
P355,Q503592,P1830
P355,Q5174635,P1830
P355,Q524757,P1830
P355,Q5271745,P1830
P355,Q5275948,P1830
P355,Q5399929,P1830
P355,Q546004,P1830
P355,Q5467279,P1830
P355,Q565423,P1830
P355,Q5665067,P1830
P355,Q570930,P1830
P355,Q614227,P1830
P355,Q631220,P1830
P355,Q634056,P1830
P355,Q654073,P1830
P355,Q6675775,P1830
P355,Q668737,P1830
P355,Q6784797,P1830
P355,Q722027,P1830
P355,Q724530,P1830
P355,Q73801,P1830
P355,Q752941,P1830
P355,Q7599653,P1830
P355,Q766329,P1830
P355,Q7719162,P1830
P355,Q775060,P1830
P355,Q795324,P1830
P355,Q795386,P1830
P355,Q815668,P1830
P355,Q819641,P1830
P355,Q835847,P1830
P355,Q857063,P1830
P355,Q8793,P1830
P355,Q890212,P1830
P355,Q901932,P1830
P355,Q9060843,P1830
P355,Q909169,P1830
P355,Q919641,P1830
P355,Q929872,P1830
P355,Q946630,P1830
P355,Q94912,P1830
P355,Q94937,P1830
P355,Q960876,P1830
P355,Q98081129,P1830
P355,Q1790346,P199
P355,Q220317,P199
P355,Q2893391,P199
P355,Q3146518,P199
P355,Q327751,P199
P355,Q421253,P199
P355,Q4698114,P199
P355,Q4937128,P199
P355,Q795324,P199
P355,Q8793,P199
P355,Q11506786,P355
P355,Q1253020,P355
P355,Q1746945,P355
P355,Q18643654,P355
P355,Q2277744,P355
P355,Q246125,P355
P355,Q2660350,P355
P355,Q2816491,P355
P355,Q2866017,P355
P355,Q4947674,P355
P355,Q82610,P355
P361,Q1230458,P361
P361,Q1546793,P361
P361,Q155718,P361
P361,Q180816,P361
P361,Q1969854,P361
P361,Q242345,P361
P361,Q30748112,P361
P361,Q466496,P361
P361,Q47492123,P361
P361,Q4905444,P361
P361,Q507306,P361
P361,Q688712,P361
P361,Q773026,P361
P361,Q874430,P361
P361,Q981010,P361
P400,Q22645,P1056
P400,Q8076,P1056
P400,Q842729,P1056
P414,Q82059,P361
P452,Q697852,P1454
P452,Q778575,P1454
P452,Q11650,P176
P452,Q101333,P452
P452,Q1056396,P452
P452,Q107601756,P452
P452,Q11033,P452
P452,Q11416,P452
P452,Q11451,P452
P452,Q11650,P452
P452,Q11661,P452
P452,Q11828862,P452
P452,Q1187656,P452
P452,Q12303494,P452
P452,Q126793,P452
P452,Q12752882,P452
P452,Q1318054,P452
P452,Q1326624,P452
P452,Q1326885,P452
P452,Q1341478,P452
P452,Q1416657,P452
P452,Q1481411,P452
P452,Q1495452,P452
P452,Q15067276,P452
P452,Q1519843,P452
P452,Q1540863,P452
P452,Q1660132,P452
P452,Q1666934,P452
P452,Q16955053,P452
P452,Q1751445,P452
P452,Q1757562,P452
P452,Q177777,P452
P452,Q180388,P452
P452,Q1875606,P452
P452,Q187939,P452
P452,Q190117,P452
P452,Q1951366,P452
P452,Q19595701,P452
P452,Q207652,P452
P452,Q2151621,P452
P452,Q220695,P452
P452,Q22687,P452
P452,Q23700345,P452
P452,Q2518196,P452
P452,Q25245117,P452
P452,Q261428,P452
P452,Q29584334,P452
P452,Q2986369,P452
P452,Q31207,P452
P452,Q3246832,P452
P452,Q3477363,P452
P452,Q3565868,P452
P452,Q381233,P452
P452,Q383973,P452
P452,Q385378,P452
P452,Q392933,P452
P452,Q3966,P452
P452,Q401404,P452
P452,Q418,P452
P452,Q43183,P452
P452,Q44497,P452
P452,Q474200,P452
P452,Q484847,P452
P452,Q4899370,P452
P452,Q49389,P452
P452,Q507443,P452
P452,Q507619,P452
P452,Q540912,P452
P452,Q56598901,P452
P452,Q581105,P452
P452,Q5892272,P452
P452,Q61515,P452
P452,Q63383285,P452
P452,Q638608,P452
